Frame,FSPP_Lig1_HB_Count,FSPP_Lig2_HB_Count
0,332,332
1,350,350
2,338,338
3,351,351
4,322,322
5,341,341
6,339,339
7,346,346
8,342,342
9,333,333
10,337,337
11,336,336
12,347,347
13,334,334
14,348,348
15,349,349
16,350,350
17,329,329
18,346,346
19,345,345
20,329,329
21,344,344
22,343,343
23,329,329
24,337,337
25,332,332
26,330,330
27,329,329
28,341,341
29,351,351
30,340,340
31,339,339
32,350,350
33,338,338
34,351,351
35,336,336
36,341,341
37,334,334
38,342,342
39,339,339
40,334,334
41,331,331
42,333,333
43,336,336
44,337,337
45,347,347
46,327,327
47,327,327
48,334,334
49,357,357
50,344,344
51,342,342
52,335,335
53,344,344
54,340,340
55,339,339
56,339,339
57,334,334
58,330,330
59,341,341
60,335,335
61,342,342
62,329,329
63,334,334
64,328,328
65,338,338
66,329,329
67,336,336
68,333,333
69,331,331
70,334,334
71,344,344
72,342,342
73,326,326
74,323,323
75,343,343
76,341,341
77,338,338
78,346,346
79,338,338
80,343,343
81,350,350
82,326,326
83,335,335
84,340,340
85,340,340
86,353,353
87,350,350
88,343,343
89,351,351
90,346,346
91,344,344
92,344,344
93,345,345
94,350,350
95,334,334
96,348,348
97,366,366
98,356,356
99,346,346
100,348,348
101,338,338
102,327,327
103,336,336
104,347,347
105,340,340
106,342,342
107,339,339
108,348,348
109,333,333
110,331,331
111,348,348
112,353,353
113,350,350
114,344,344
115,340,340
116,342,342
117,353,353
118,354,354
119,347,347
120,348,348
121,354,354
122,353,353
123,342,342
124,334,334
125,326,326
126,341,341
127,340,340
128,347,347
129,344,344
130,343,343
131,343,343
132,329,329
133,348,348
134,346,346
135,341,341
136,350,350
137,336,336
138,330,330
139,358,358
140,343,343
141,337,337
142,335,335
143,349,349
144,349,349
145,346,346
146,348,348
147,352,352
148,341,341
149,339,339
150,348,348
151,338,338
152,343,343
153,343,343
154,339,339
155,347,347
156,349,349
157,357,357
158,339,339
159,358,358
160,354,354
161,338,338
162,353,353
163,353,353
164,336,336
165,370,370
166,359,359
167,353,353
168,359,359
169,360,360
170,353,353
171,362,362
172,340,340
173,336,336
174,350,350
175,348,348
176,348,348
177,340,340
178,343,343
179,344,344
180,350,350
181,349,349
182,346,346
183,338,338
184,328,328
185,332,332
186,339,339
187,342,342
188,340,340
189,331,331
190,342,342
191,337,337
192,345,345
193,349,349
194,339,339
195,345,345
196,341,341
197,340,340
198,350,350
199,350,350
200,333,333
201,348,348
202,348,348
203,352,352
204,340,340
205,347,347
206,343,343
207,336,336
208,346,346
209,343,343
210,342,342
211,341,341
212,341,341
213,330,330
214,334,334
215,343,343
216,332,332
217,332,332
218,353,353
219,329,329
220,340,340
221,332,332
222,337,337
223,339,339
224,342,342
225,330,330
226,337,337
227,340,340
228,321,321
229,339,339
230,347,347
231,332,332
232,338,338
233,336,336
234,334,334
235,333,333
236,333,333
237,350,350
238,339,339
239,336,336
240,331,331
241,346,346
242,329,329
243,329,329
244,333,333
245,337,337
246,340,340
247,339,339
248,323,323
249,329,329
250,329,329
251,338,338
252,337,337
253,347,347
254,333,333
255,321,321
256,345,345
257,329,329
258,330,330
259,320,320
260,336,336
261,327,327
262,326,326
263,337,337
264,329,329
265,336,336
266,335,335
267,335,335
268,340,340
269,343,343
270,335,335
271,337,337
272,329,329
273,342,342
274,316,316
275,333,333
276,326,326
277,346,346
278,332,332
279,338,338
280,341,341
281,346,346
282,339,339
283,331,331
284,334,334
285,336,336
286,346,346
287,324,324
288,351,351
289,324,324
290,325,325
291,336,336
292,339,339
293,326,326
294,329,329
295,337,337
296,345,345
297,349,349
298,329,329
299,342,342
300,335,335
301,328,328
302,339,339
303,318,318
304,322,322
305,330,330
306,326,326
307,332,332
308,331,331
309,333,333
310,324,324
311,323,323
312,331,331
313,331,331
314,327,327
315,333,333
316,338,338
317,345,345
318,330,330
319,342,342
320,337,337
321,323,323
322,330,330
323,322,322
324,330,330
325,330,330
326,331,331
327,340,340
328,323,323
329,329,329
330,325,325
331,349,349
332,339,339
333,340,340
334,320,320
335,334,334
336,323,323
337,331,331
338,320,320
339,336,336
340,330,330
341,324,324
342,321,321
343,345,345
344,329,329
345,338,338
346,317,317
347,337,337
348,335,335
349,333,333
350,331,331
351,335,335
352,338,338
353,342,342
354,331,331
355,327,327
356,340,340
357,320,320
358,333,333
359,324,324
360,333,333
361,325,325
362,333,333
363,336,336
364,339,339
365,328,328
366,328,328
367,339,339
368,327,327
369,340,340
370,340,340
371,334,334
372,349,349
373,336,336
374,342,342
375,332,332
376,332,332
377,347,347
378,343,343
379,340,340
380,344,344
381,322,322
382,332,332
383,347,347
384,334,334
385,340,340
386,329,329
387,330,330
388,336,336
389,338,338
390,327,327
391,335,335
392,326,326
393,340,340
394,346,346
395,327,327
396,332,332
397,333,333
398,328,328
399,324,324
400,329,329
401,323,323
402,334,334
403,332,332
404,346,346
405,333,333
406,334,334
407,337,337
408,334,334
409,334,334
410,331,331
411,329,329
412,336,336
413,339,339
414,336,336
