Frame,MG300_FSPP_Lig1,MG300_FSPP_Lig2,MG301_FSPP_Lig1,MG301_FSPP_Lig2,MG302_FSPP_Lig1,MG302_FSPP_Lig2
0,30.794153352921747,27.673153250364887,51.66613098528788,53.14043620357136,46.967236052252446,53.399989056547795
1,30.02816784931542,26.693497083843706,52.71627775679352,51.027145227779926,48.663465711484115,51.05314434267092
2,26.211847338853183,65.48907293537283,51.16104874209393,39.64631355287859,47.052095320669025,45.417102141086104
3,27.119008908720463,65.18685348593588,50.83990515941624,38.020408641583224,46.55205758824512,43.81186941062171
4,24.74749753282375,65.52760509365363,49.72814523720122,39.73668653475504,45.72130284094761,45.595604829982264
5,66.04635384300067,24.424878611745424,43.37103631419897,49.747388222156545,44.662541481456316,49.53658331877348
6,65.41442206392796,26.418526034321726,42.746514503050996,49.899768727459865,44.855275801012226,49.49091044065075
7,67.04755227758893,28.167216000505906,44.9392928901333,50.73409113923786,46.68597176980532,50.25853328888048
8,62.97348483737109,34.28042030673931,42.70291488949337,53.72051688993668,43.6099906500101,53.84014850149098
9,59.95866448836298,68.64636746126016,42.98920240321059,44.55423902930354,44.15781541936934,50.462753491849014
10,60.05447983202457,40.272654868458794,45.046055931574095,57.22274414097523,46.873042547952316,57.4663927154667
11,60.89302277323858,41.6469200455804,45.94844696472678,56.923719158510615,47.449069235035076,57.87195988775796
12,58.430301565590355,41.74912063581304,40.837847289825646,53.51111902963748,42.328512812092754,54.7723601592016
13,55.05819981678483,44.36933784930634,38.69692060919747,56.1525532481997,39.35060446943106,56.8736794227356
14,52.45483068283778,47.905193715813674,31.510967593431648,58.634567571834324,33.40533719800203,59.183652061452
15,54.073567219856066,47.840943532440086,30.63421022797285,57.916968698993095,31.935989354320593,58.53443370300997
16,60.34619477379089,77.66443368395413,35.57927529810818,50.664103237564554,37.01839129427723,56.65201665600136
17,56.05823607500555,50.06556810945134,30.08735988255163,57.77199658065812,31.275829157161073,59.23038795862218
18,53.19633231381388,74.25287437347437,28.103744423164912,49.227333368025356,29.15931822056825,55.17465436820274
19,51.91976275015767,68.87128318342604,26.214842218478562,45.58865850495974,28.189140376848663,51.610214139601524
20,54.3981488387297,66.15687976347375,28.610392546177604,41.44950108633931,30.173898900529306,47.30215341149773
21,49.43920971544054,60.14209891229609,25.776932213630086,37.595462914708456,27.744663920802527,43.46195008540247
22,48.40262810238237,60.41518092311537,27.463641010426443,39.239452511970505,28.171026010242564,44.962685381549605
23,51.57738981014637,59.1158407475246,31.967801152474625,38.08892097492453,33.612957619798344,44.10258555603031
24,58.60467468674125,62.79445786831157,38.20568656719596,42.61457365928359,38.620023951309214,48.52662962362858
25,58.66406786661278,60.72837050659137,38.13743283864419,44.089509563113005,38.50961178173557,49.946506122581454
26,65.58163668421976,62.20777532058317,44.53644781724874,43.03971622564211,44.8123904709412,48.9871787675164
27,26.942694833214016,60.46367319587256,49.481391546975615,40.4729297598051,45.147936134436456,46.30021957387341
28,27.766408691509977,55.61485699424045,45.2905237249111,39.309601047185076,40.56516498297535,45.2866417327967
29,28.874594694018313,61.10791895819441,46.36941678282763,45.35664226236792,41.784947724191376,51.31330088676729
30,29.035274573135585,62.90302089989664,46.394333948659096,43.07670890706225,41.519002903882885,49.1146457659469
31,28.847127214530975,61.46351129241868,47.68061914249375,39.13635684334289,42.945456499117206,45.05548999160537
32,29.887133609814022,58.326684774948035,47.65440446253745,38.9808044452523,42.66318534032397,44.847170716727945
33,28.659987710502243,59.783039974128506,43.992773162484724,36.94791238358377,39.493111376156996,42.915636160102096
34,27.600266424075436,55.25838847323831,42.676964216381464,33.49799700888494,38.00551809891968,39.59002260670808
35,23.189923090261214,58.247686139005395,41.26639416956041,33.9038546544852,37.19532628131191,39.877019197641296
36,25.552270873330293,59.45187403697089,44.19101955873236,35.28588226415138,39.82691368976739,41.5733801016261
37,24.69212622474595,58.26818564249315,46.80455393314798,33.58098798716464,43.06074937031131,39.63897659992774
