Frame,FSPP_Lig1_HB_Count,FSPP_Lig2_HB_Count
0,336,336
1,350,350
2,334,334
3,340,340
4,324,324
5,334,334
6,359,359
7,349,349
8,358,358
9,363,363
10,352,352
11,355,355
12,341,341
13,336,336
14,345,345
15,348,348
16,338,338
17,344,344
18,347,347
19,357,357
20,340,340
21,352,352
22,349,349
23,342,342
24,343,343
25,343,343
26,349,349
27,347,347
28,351,351
29,355,355
30,347,347
31,350,350
32,353,353
33,346,346
34,338,338
35,353,353
36,353,353
37,345,345
38,339,339
39,349,349
40,351,351
41,364,364
42,347,347
43,350,350
44,340,340
45,340,340
46,346,346
47,352,352
48,345,345
49,345,345
50,339,339
51,347,347
52,342,342
53,347,347
54,350,350
55,343,343
56,336,336
57,352,352
58,348,348
59,352,352
60,355,355
61,353,353
62,348,348
63,348,348
64,349,349
65,335,335
66,353,353
67,358,358
68,348,348
69,352,352
70,351,351
71,343,343
72,347,347
73,348,348
74,349,349
75,351,351
76,345,345
77,347,347
78,338,338
79,345,345
80,337,337
81,342,342
82,359,359
83,352,352
84,327,327
85,348,348
86,349,349
87,353,353
88,342,342
89,349,349
90,344,344
91,350,350
92,337,337
93,343,343
94,350,350
95,352,352
96,341,341
97,334,334
98,346,346
99,347,347
100,346,346
101,350,350
102,339,339
103,356,356
104,343,343
105,353,353
106,346,346
107,345,345
108,342,342
109,349,349
110,350,350
111,335,335
112,349,349
113,338,338
114,351,351
115,346,346
116,348,348
117,348,348
118,353,353
119,344,344
120,334,334
121,346,346
122,339,339
123,336,336
124,347,347
125,346,346
126,347,347
127,348,348
128,337,337
129,343,343
130,346,346
131,354,354
132,337,337
133,341,341
134,339,339
135,340,340
136,338,338
137,344,344
138,351,351
139,343,343
140,332,332
141,347,347
142,339,339
143,348,348
144,334,334
145,347,347
146,346,346
147,348,348
148,353,353
149,338,338
150,347,347
151,339,339
152,346,346
153,349,349
154,336,336
155,345,345
156,347,347
157,349,349
158,337,337
159,353,353
160,330,330
161,338,338
162,352,352
163,336,336
164,334,334
165,342,342
166,337,337
167,351,351
168,354,354
169,345,345
170,338,338
171,334,334
172,350,350
173,353,353
174,343,343
175,327,327
176,347,347
177,349,349
178,353,353
179,346,346
180,340,340
181,346,346
182,349,349
183,329,329
184,343,343
185,338,338
186,337,337
187,341,341
188,337,337
189,340,340
190,341,341
191,342,342
192,346,346
193,360,360
194,340,340
195,347,347
196,350,350
197,346,346
198,338,338
199,341,341
200,339,339
201,356,356
202,340,340
203,362,362
204,353,353
205,348,348
206,343,343
207,342,342
208,339,339
209,346,346
210,349,349
211,340,340
212,359,359
213,354,354
214,331,331
215,343,343
216,345,345
217,340,340
218,350,350
219,340,340
220,345,345
221,335,335
222,338,338
223,336,336
224,342,342
225,348,348
226,353,353
227,342,342
228,351,351
229,335,335
230,347,347
231,348,348
232,352,352
233,338,338
234,354,354
235,337,337
236,339,339
237,347,347
238,341,341
239,349,349
240,340,340
241,353,353
242,350,350
243,357,357
244,339,339
245,337,337
246,334,334
247,341,341
248,333,333
249,343,343
250,355,355
251,353,353
252,343,343
253,344,344
254,338,338
255,342,342
256,339,339
257,342,342
258,346,346
259,340,340
260,348,348
261,347,347
262,333,333
263,342,342
264,325,325
265,352,352
266,346,346
267,335,335
268,342,342
269,342,342
270,351,351
271,335,335
272,343,343
273,335,335
274,334,334
275,338,338
276,338,338
277,340,340
278,340,340
279,338,338
280,344,344
281,321,321
282,349,349
283,337,337
284,331,331
285,331,331
286,338,338
287,331,331
288,339,339
289,333,333
290,340,340
291,352,352
292,348,348
293,337,337
294,339,339
295,331,331
296,350,350
297,331,331
298,336,336
299,338,338
300,339,339
301,345,345
302,355,355
303,339,339
304,348,348
305,340,340
306,335,335
307,342,342
308,362,362
309,357,357
310,353,353
311,347,347
312,354,354
313,351,351
314,355,355
315,357,357
316,343,343
317,346,346
318,353,353
319,337,337
320,348,348
321,350,350
