Frame,GGPP_Lig1_HB_Count,GGPP_Lig2_HB_Count
0,335,335
1,346,346
2,338,338
3,343,343
4,329,329
5,343,343
6,364,364
7,336,336
8,357,357
9,356,356
10,342,342
11,351,351
12,337,337
13,353,353
14,348,348
15,343,343
16,345,345
17,330,330
18,354,354
19,347,347
20,336,336
21,341,341
22,341,341
23,345,345
24,344,344
25,341,341
26,346,346
27,342,342
28,332,332
29,337,337
30,342,342
31,337,337
32,340,340
33,342,342
34,344,344
35,341,341
36,338,338
37,355,355
38,344,344
39,341,341
40,345,345
41,333,333
42,342,342
43,339,339
44,348,348
45,339,339
46,347,347
47,339,339
48,341,341
49,342,342
50,342,342
51,344,344
52,340,340
53,332,332
54,349,349
55,361,361
56,328,328
57,346,346
58,338,338
59,337,337
60,345,345
61,347,347
62,340,340
63,339,339
64,347,347
65,338,338
66,338,338
67,336,336
68,342,342
69,328,328
70,343,343
71,350,350
72,334,334
73,334,334
74,340,340
75,361,361
76,325,325
77,345,345
78,330,330
79,339,339
80,342,342
81,326,326
82,346,346
83,339,339
84,330,330
85,338,338
86,341,341
87,340,340
88,337,337
89,339,339
90,333,333
91,341,341
92,337,337
93,341,341
94,340,340
95,343,343
96,340,340
97,347,347
98,342,342
99,325,325
100,334,334
101,328,328
102,334,334
103,344,344
104,325,325
105,335,335
106,334,334
107,326,326
108,334,334
109,339,339
110,328,328
111,321,321
112,328,328
113,328,328
114,335,335
115,338,338
116,323,323
117,329,329
118,324,324
119,336,336
120,336,336
121,325,325
122,333,333
123,340,340
124,349,349
125,337,337
126,324,324
127,338,338
128,334,334
129,341,341
130,337,337
131,337,337
132,339,339
133,347,347
134,330,330
135,339,339
136,343,343
137,344,344
138,352,352
139,339,339
140,340,340
141,338,338
142,346,346
143,342,342
144,340,340
145,340,340
146,328,328
147,329,329
148,336,336
149,341,341
150,349,349
151,336,336
152,330,330
153,342,342
154,339,339
155,336,336
156,334,334
157,349,349
158,338,338
159,343,343
160,334,334
161,343,343
162,343,343
163,349,349
164,347,347
165,344,344
166,347,347
167,341,341
168,338,338
169,323,323
170,340,340
171,358,358
172,354,354
