Frame,GGPP_Lig1_HB_Count,GGPP_Lig2_HB_Count
0,361,361
1,355,355
2,347,347
3,352,352
4,345,345
5,364,364
6,355,355
7,351,351
8,353,353
9,359,359
10,347,347
11,345,345
12,350,350
13,357,357
14,340,340
15,339,339
16,347,347
17,351,351
18,344,344
19,351,351
20,350,350
21,343,343
22,349,349
23,334,334
24,349,349
25,339,339
26,347,347
27,344,344
28,352,352
29,343,343
30,358,358
31,351,351
32,359,359
33,337,337
34,345,345
35,343,343
36,366,366
37,349,349
38,339,339
39,351,351
40,348,348
41,338,338
42,366,366
43,347,347
44,347,347
45,341,341
46,352,352
47,359,359
48,351,351
49,352,352
50,344,344
51,361,361
52,350,350
53,354,354
54,353,353
55,348,348
56,354,354
57,361,361
58,371,371
59,351,351
60,348,348
61,341,341
62,351,351
63,363,363
64,350,350
65,340,340
66,356,356
67,346,346
68,346,346
69,354,354
70,374,374
71,342,342
72,345,345
73,350,350
74,358,358
75,350,350
76,351,351
77,345,345
78,358,358
79,359,359
80,352,352
81,342,342
82,358,358
83,351,351
84,364,364
85,339,339
86,350,350
87,343,343
88,341,341
89,348,348
90,330,330
91,347,347
92,336,336
93,351,351
94,350,350
95,354,354
96,338,338
97,347,347
98,345,345
99,361,361
100,343,343
101,350,350
102,348,348
103,356,356
104,362,362
105,351,351
106,343,343
107,344,344
108,345,345
109,343,343
110,350,350
111,344,344
112,348,348
113,345,345
114,344,344
115,347,347
116,344,344
117,349,349
118,346,346
119,347,347
120,335,335
121,341,341
122,347,347
123,346,346
124,339,339
125,340,340
126,354,354
127,353,353
128,341,341
129,359,359
130,343,343
131,349,349
132,355,355
133,344,344
134,355,355
135,344,344
136,347,347
137,344,344
138,357,357
139,339,339
140,354,354
141,355,355
142,341,341
143,337,337
144,343,343
145,344,344
146,346,346
147,348,348
148,346,346
149,341,341
150,333,333
151,347,347
152,369,369
153,348,348
154,357,357
155,342,342
156,339,339
157,348,348
158,352,352
159,353,353
160,340,340
161,354,354
162,337,337
163,350,350
164,361,361
165,350,350
166,357,357
167,358,358
168,346,346
169,343,343
170,352,352
171,344,344
172,355,355
173,362,362
174,357,357
175,346,346
176,360,360
177,335,335
178,356,356
179,356,356
180,354,354
181,338,338
182,352,352
183,354,354
184,353,353
185,340,340
186,346,346
187,355,355
188,338,338
189,340,340
190,347,347
191,331,331
192,344,344
193,342,342
194,339,339
195,340,340
196,338,338
197,349,349
198,351,351
199,345,345
200,357,357
201,350,350
202,356,356
203,344,344
204,335,335
205,357,357
206,342,342
207,347,347
208,340,340
209,344,344
210,351,351
211,335,335
212,348,348
213,340,340
214,335,335
215,352,352
216,349,349
217,337,337
218,343,343
219,335,335
220,346,346
221,344,344
222,342,342
223,352,352
224,347,347
225,340,340
226,339,339
227,348,348
228,346,346
229,342,342
230,353,353
231,355,355
232,342,342
233,354,354
234,353,353
235,354,354
236,330,330
237,348,348
238,340,340
239,347,347
240,346,346
241,338,338
242,347,347
243,341,341
244,337,337
245,339,339
246,341,341
247,345,345
248,340,340
249,345,345
250,348,348
251,346,346
252,346,346
