Protein ID,GRAVY
M-vik-KFZ58-17675/271-285,0.059
M-vhl-BME96-14535/272-298,-0.218
M-too-C7K38-02270/270-288,-0.252
M-tey-GLW17-04545/270-288,-0.273
M-swa-A284-01655/269-287,-0.297
M-sure-SporoP32a-09255/273-287,0.207
M-strb-QWT68-13915/271-285,0.017
M-stas-HYI43-02290/269-287,-0.609
M-ssuc-ACSSAF-13665/269-291,-0.19
M-ssim-SAMEA4384339-2368/268-286,-0.522
M-ssif-AL483-11050/270-287,-0.261
M-sscu-CEP64-13170/269-291,-0.364
M-ssac-I6I31-02605/269-287,-0.231
M-spsd-JMB28-00830/269-291,-0.348
M-spos-DV702-13355/273-287,0.207
M-spop-SporoP37-09275/273-289,0.043
M-spic-SAMEA4384060-0212/269-286,-0.338
M-spet-CEP67-08110/266-284,-0.463
M-sow-QWT69-16185/273-287,0.155
M-snl-BJD96-00595/279-301,-0.193
M-slg-SLGD-00187/266-287,-0.465
M-sjt-PGH26-14165/271-285,0.123
M-sje-AAV35-007825/264-277,-0.362
M-shua-PQ477-11055/267-290,-0.485
M-shom-EGX58-06060/268-288,-0.571
M-sdev-Q2T90-05250/269-287,-0.404
M-schr-DWB92-00430/271-293,-0.353
M-scar-DWB96-01945/269-287,-0.242
M-scap-AYP1020-1733/269-287,-0.238
M-sca-SCA-2274/270-287,-0.333
M-sbah-RQP18-00375/273-295,-0.375
M-saug-SA268-2478/268-287,-0.426
M-sapl-U0355-08440/264-277,-0.366
M-sale-EPH95-02290/271-284,-0.261
M-sahz-ACKRAT-11235/273-295,-0.157
M-saca-FFV09-08620/261-290,-0.047
M-rts-CE91St31-24600/272-300,-0.081
M-rtf-VQP54-08220/270-289,0.107
M-ross-V2W31-08045/265-278,-0.196
M-rmf-D5E69-08435/263-276,-0.32
M-ptri-KDC22-30850/261-285,0.08
M-psyh-D0S48-20350/255-277,-0.056
M-pswu-SY83-14340/262-291,-0.214
M-psua-FLK61-30285/264-280,0.045
M-pshx-QWY21-03950/271-285,0.037
M-proo-MJB10-04020/270-289,-0.107
M-ppsr-I6J18-04210/255-284,-0.252
M-pona-IMZ31-07415/265-282,-0.212
M-pof-GS400-07990/264-277,-0.486
M-pmw-B2K-16060/266-298,-0.014
M-pmat-BBI11-15120/264-276,-0.132
M-pliq-QWY22-17145/265-277,0.123
M-play-DNR44-006395/264-276,0.122
M-pgq-FK545-11585/271-285,-0.105
M-pfae-AJGP001-15435/265-277,0.174
M-pchu-QNI29-08895/265-282,-0.067
M-pbd-PBOR-33895/262-286,0.069
M-pbac-HUB98-14530/261-290,0.189
M-paun-MJA45-20700/261-290,-0.177
M-paea-R70723-30720/262-292,-0.087
M-oih-OB2460/269-284,0.354
M-ocs-OF820-08595/262-264,-1.027
M-ntx-NQZ71-26155/273-292,0.021
M-mlit-KDJ21-000495/266-280,-0.139
M-mlen-H3V22-08595/269-291,-0.229
M-mequ-KFV11-00690/269-294,0.112
M-mepi-KFV12-00565/268-288,-0.172
M-menl-MVE64-00090/270-298,-0.231
M-mcui-G8O30-03230/264-276,-0.081
M-mcg-GL4-3107/303-336,0.114
M-mbru-MGG13-00645/267-288,-0.185
M-mboc-QSV55-01040/267-288,-0.334
M-marr-BKP56-12410/275-294,-0.157
M-macr-BHM04-10280/268-287,-0.229
M-lle-AYR59-01030/274-291,-0.204
M-larg-LPA65-13980/269-293,-0.172
M-jpo-G7058-05440/272-291,-0.073
M-jep-BW721-07655/273-292,-0.096
M-jeo-JMA-13810/263-276,-0.206
M-jem-LZ578-02805/273-299,-0.139
M-jda-BW727-102020/272-291,-0.132
M-hsan-MUN89-15050/265-278,-0.426
M-hmn-HM131-12855/265-278,-0.408
M-hli-HLI-02860/265-278,-0.408
M-hhd-HBHAL-2762/265-278,-0.219
M-hamy-MUO15-10550/270-298,-0.084
M-gsm-MUN87-19310/271-285,-0.141
M-fpn-ABE65-002085/265-280,0.083
M-fcp-M3M37-06690/271-289,0.446
M-eyy-EGYY-04210/272-293,-0.004
M-exm-U719-03905/265-277,0.242
M-esy-ACMHDP-03035/270-286,-0.078
M-esi-Exig-0737/263-275,0.242
M-emu-EMQU-2797/270-298,-0.046
M-elim-B2M23-13180/263-287,0.048
M-ele-Elen-2267/271-292,-0.325
M-ehr-EHR-05365/270-289,-0.127
M-egv-EGCR1-04840/270-294,-0.229
M-egd-GS424-012835/272-293,-0.16
M-ega-AL523-15525/284-307,-0.156
M-edu-LIU-01925/270-296,0.025
M-ecto-MUG87-16910/265-285,-0.273
M-eaur-NMQ00-11645/267-279,0.188
M-eat-EAT1b-2492/267-279,0.186
M-eap-KB235-12910/267-279,0.189
M-dinc-QNK01-06850/273-295,-0.199
M-cspg-LS684-05850/264-276,-0.035
M-crn-CAR-c19230/278-291,0.031
M-cohn-KCTCHS21-30310/261-286,-0.019
M-cohl-J4772-05580/270-286,-0.016
M-cgot-J1899-01865/274-300,-0.452
M-caw-Q783-08815/273-286,-0.079
M-bwh-A9C19-15130/267-281,-0.177
M-bse-Bsel-2213/264-283,-0.472
M-bpf-BpOF4-14560/265-279,-0.276
